"date","stationReference","daily_rainfall","lat","long"
2023-09-01,"000008",1.8,53.480556,-1.441674
2023-09-01,"000028",1.4,53.500289,-1.673575
2023-09-01,"000075TP",4.6,51.084022,-0.214597
2023-09-01,"000076TP",4.2,51.701508,-0.747539
2023-09-01,"000180TP",5.2,51.618838,0.173236
2023-09-01,"000181TP",8.4,51.730021,0.040992
2023-09-01,"000182TP",7.3,51.885257,-0.156869
2023-09-01,"000900",0,55.591879,-1.854785
2023-09-01,"000997",0,55.58067,-1.645446
2023-09-01,"003066",0,55.350136,-2.171067
2023-09-01,"003232",0,55.312483,-1.909373
2023-09-01,"004942",0,55.347002,-1.630189
2023-09-01,"005588",0,55.174997,-1.521877
2023-09-01,"005782",0,55.154354,-1.944254
2023-09-01,"006077",0,55.207377,-2.040032
2023-09-01,"006403",0,55.237908,-1.918977
2023-09-01,"007292",0,55.033951,-1.969453
2023-09-01,"008062",0,55.132825,-1.538065
2023-09-01,"008850",0.2,55.255608,-2.540374
2023-09-01,"010312",0.2,55.143004,-2.375693
2023-09-01,"010660",0,55.320859,-2.396284
2023-09-01,"013045",1.2,54.742208,-2.378185
2023-09-01,"013336",0.2,54.774946,-2.516845
2023-09-01,"013553",0.2,54.820161,-2.445834
2023-09-01,"013878",0,54.871077,-2.52275
2023-09-01,"014555",0,54.97002,-2.500603
2023-09-01,"015313",0.4,55.010561,-2.08518
2023-09-01,"015347",1.8,54.804602,-2.221644
2023-09-01,"016140",0,54.960162,-2.160033
2023-09-01,"017651",0,55.000299,-1.68497
2023-09-01,"018777",0.4,54.860973,-1.670477
2023-09-01,"019271",0,55.033344,-1.614307
2023-09-01,"021028",0,54.938987,-1.393566
2023-09-01,"021228",1.2,54.747962,-2.235316
2023-09-01,"022163",3.4,54.761631,-1.902834
2023-09-01,"022994",1.8,54.624106,-1.870637
2023-09-01,"023164",0.6,54.610418,-1.740626
2023-09-01,"023839",0,54.829815,-1.807716
2023-09-01,"025394",0,54.894495,-1.489343
2023-09-01,"025878",0,54.823818,-1.36572
2023-09-01,"026090",0,54.760776,-1.340287
2023-09-01,"026297",0,54.701508,-1.198486
2023-09-01,"026644",3.8,54.656189,-2.285935
2023-09-01,"026958",1.8,54.683225,-2.252002
2023-09-01,"028185",2.8,54.560368,-1.983723
2023-09-01,"028502",4.6,54.504568,-2.141258
2023-09-01,"030377",0.6,54.526112,-1.506309
2023-09-01,"031555",0.6,54.469846,-1.099639
2023-09-01,"0323SO",1.8,51.246536,0.022379
2023-09-01,"032822",0.4,54.633845,-1.480219
2023-09-01,"033108NE",0,54.543358,-1.201588
2023-09-01,"034091",0,54.596104,-1.039588
2023-09-01,"034459",0.4,54.518191,-0.964175
